t_exec,t_pred,p_reversal,direction,signal_side,pos_side,action_close,action_open,price,cum_pnl
2026-01-07 13:34:00,2026-01-07 13:33:00,0.004122039768844843,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:35:00,2026-01-07 13:34:00,0.0018321039387956262,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:36:00,2026-01-07 13:35:00,0.0018944651819765568,-1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:37:00,2026-01-07 13:36:00,0.004442829173058271,-1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:38:00,2026-01-07 13:37:00,0.004713474772870541,-1,0,0,flat,no_signal,38.22,0.0176645635961602
2026-01-07 13:39:00,2026-01-07 13:38:00,0.011702822521328926,1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:40:00,2026-01-07 13:39:00,0.010311662219464779,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:41:00,2026-01-07 13:40:00,0.007993532344698906,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:42:00,2026-01-07 13:41:00,0.0012600176269188523,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:43:00,2026-01-07 13:42:00,0.001366860349662602,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:44:00,2026-01-07 13:43:00,0.0012335646897554398,1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:45:00,2026-01-07 13:44:00,0.0007917597540654242,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:46:00,2026-01-07 13:45:00,0.0005806877743452787,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:47:00,2026-01-07 13:46:00,0.0006686077103950083,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:48:00,2026-01-07 13:47:00,0.0004791843821294606,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:49:00,2026-01-07 13:48:00,0.0005710110999643803,1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:50:00,2026-01-07 13:49:00,0.0006966544315218925,1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:51:00,2026-01-07 13:50:00,0.0004856052983086556,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:52:00,2026-01-07 13:51:00,0.0006622242508456111,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:53:00,2026-01-07 13:52:00,0.0005762510700151324,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 13:54:00,2026-01-07 13:53:00,0.0004620170220732689,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 13:55:00,2026-01-07 13:54:00,0.0004813924606423825,-1,0,0,flat,no_signal,38.2,0.0176645635961602
2026-01-07 13:56:00,2026-01-07 13:55:00,0.0023026536218822002,1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:57:00,2026-01-07 13:56:00,0.0015104415360838175,1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:58:00,2026-01-07 13:57:00,0.0009491610107943416,1,0,0,flat,no_signal,38.18,0.0176645635961602
2026-01-07 13:59:00,2026-01-07 13:58:00,0.0006759874522686005,1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 14:00:00,2026-01-07 13:59:00,0.0005613243556581438,0,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 14:01:00,2026-01-07 14:00:00,0.0008575348765589297,0,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 14:02:00,2026-01-07 14:01:00,0.0006762964767403901,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 14:03:00,2026-01-07 14:02:00,0.0004330521041993052,-1,0,0,flat,no_signal,38.14,0.0176645635961602
2026-01-07 14:04:00,2026-01-07 14:03:00,0.0007195408688858151,-1,0,0,flat,no_signal,38.16,0.0176645635961602
2026-01-07 14:05:00,2026-01-07 14:04:00,0.000617810117546469,0,0,0,flat,no_signal,38.16,0.0176645635961602
